iter	Passed	Remaining
799	1106	276
800	1107	275
801	1108	273
802	1109	272
803	1110	270
804	1111	269
805	1112	267
806	1114	266
807	1117	265
808	1118	264
809	1119	262
810	1120	261
811	1121	259
812	1122	258
813	1123	256
814	1124	255
815	1125	253
816	1126	252
817	1126	250
818	1127	249
819	1129	247
820	1130	246
821	1132	245
822	1133	243
823	1134	242
824	1134	240
825	1135	239
826	1137	237
827	1137	236
828	1138	234
829	1139	233
830	1140	231
831	1141	230
832	1143	229
833	1144	227
834	1146	226
835	1147	225
836	1148	223
837	1149	222
838	1150	220
839	1151	219
840	1152	217
841	1153	216
842	1154	214
843	1154	213
844	1155	211
845	1156	210
846	1159	209
847	1160	208
848	1162	206
849	1163	205
850	1164	203
851	1164	202
852	1166	200
853	1167	199
854	1168	198
855	1168	196
856	1169	195
857	1170	193
858	1171	192
859	1172	190
860	1174	189
861	1175	188
862	1176	186
863	1177	185
864	1178	183
865	1179	182
866	1180	181
867	1181	179
868	1182	178
869	1182	176
870	1183	175
871	1184	173
872	1185	172
873	1186	171
874	1188	169
875	1189	168
876	1190	166
877	1191	165
878	1192	164
879	1192	162
880	1193	161
881	1195	159
882	1196	158
883	1196	157
884	1197	155
885	1198	154
886	1199	152
887	1200	151
888	1201	149
889	1202	148
890	1203	147
891	1204	145
892	1205	144
893	1206	143
894	1207	141
895	1208	140
896	1209	138
897	1209	137
898	1210	136
899	1211	134
900	1212	133
901	1213	131
902	1214	130
903	1215	129
904	1216	127
905	1217	126
906	1218	124
907	1219	123
908	1220	122
909	1221	120
910	1221	119
911	1222	117
912	1223	116
913	1224	115
914	1225	113
915	1226	112
916	1227	111
917	1228	109
918	1228	108
919	1229	106
920	1230	105
921	1232	104
922	1233	102
923	1234	101
924	1235	100
925	1236	98
926	1236	97
927	1237	96
928	1238	94
929	1239	93
930	1240	91
931	1241	90
932	1242	89
933	1243	87
934	1244	86
935	1245	85
936	1247	83
937	1249	82
938	1250	81
939	1250	79
940	1251	78
941	1252	77
942	1253	75
943	1254	74
944	1255	73
945	1256	71
946	1257	70
947	1258	69
948	1259	67
949	1259	66
950	1261	64
951	1262	63
952	1263	62
953	1264	60
954	1264	59
955	1265	58
956	1266	56
957	1267	55
958	1268	54
959	1269	52
960	1270	51
961	1271	50
962	1272	48
963	1272	47
964	1273	46
965	1274	44
966	1276	43
967	1277	42
968	1278	40
969	1279	39
970	1280	38
971	1280	36
972	1281	35
973	1282	34
974	1283	32
975	1284	31
976	1285	30
977	1286	28
978	1287	27
979	1288	26
980	1289	24
981	1290	23
982	1291	22
983	1292	21
984	1293	19
985	1294	18
986	1295	17
987	1296	15
988	1297	14
989	1298	13
990	1299	11
991	1300	10
992	1301	9
993	1302	7
994	1303	6
995	1304	5
996	1305	3
997	1307	2
998	1308	1
999	1309	0
